Id,Date,GrossSales,SalesForecast,BreadDescDBString
104,8/26/2017 12:00:00 AM,1634.2,1850,Name=Sourdough;BeginInventory=32;FreezerCount=40;Delivery=296;Backup=32;ParFactor=9.804179;Id=-1|Name=Whole Wheat;BeginInventory=32;FreezerCount=32;Delivery=32;Backup=16;ParFactor=40.62918;Id=-1
105,8/27/2017 12:00:00 AM,1562.38,1850,Name=Sourdough;BeginInventory=80;FreezerCount=40;Delivery=104;Backup=32;ParFactor=9.804179;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=32;Delivery=32;Backup=16;ParFactor=40.62918;Id=-1
106,8/28/2017 12:00:00 AM,1121.09,1250,Name=Sourdough;BeginInventory=64;FreezerCount=40;Delivery=136;Backup=32;ParFactor=9.85601;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=32;Delivery=24;Backup=16;ParFactor=39.90095;Id=-1
107,8/29/2017 12:00:00 AM,1039.02,1100,Name=Sourdough;BeginInventory=104;FreezerCount=72;Delivery=72;Backup=32;ParFactor=9.85601;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=32;Delivery=16;Backup=16;ParFactor=39.90095;Id=-1
108,8/30/2017 12:00:00 AM,1186.07,1100,Name=Sourdough;BeginInventory=64;FreezerCount=72;Delivery=48;Backup=32;ParFactor=9.85601;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=24;Delivery=24;Backup=16;ParFactor=39.90095;Id=-1
109,8/31/2017 12:00:00 AM,1288.7,1300,Name=Sourdough;BeginInventory=24;FreezerCount=48;Delivery=112;Backup=32;ParFactor=9.85601;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=24;Delivery=24;Backup=16;ParFactor=39.90095;Id=-1
110,9/1/2017 12:00:00 AM,1443.9,1500,Name=Sourdough;BeginInventory=32;FreezerCount=48;Delivery=160;Backup=32;ParFactor=9.85601;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=24;Delivery=48;Backup=16;ParFactor=39.90095;Id=-1
111,9/2/2017 12:00:00 AM,1902.68,1650,Name=Sourdough;BeginInventory=56;FreezerCount=48;Delivery=136;Backup=32;ParFactor=9.85601;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=24;Delivery=48;Backup=16;ParFactor=39.90095;Id=-1
112,9/3/2017 12:00:00 AM,1789.78,1800,Name=Sourdough;BeginInventory=32;FreezerCount=48;Delivery=136;Backup=32;ParFactor=9.85601;Id=-1|Name=Whole Wheat;BeginInventory=40;FreezerCount=24;Delivery=16;Backup=16;ParFactor=39.90095;Id=-1
113,9/4/2017 12:00:00 AM,1520.68,1800,Name=Sourdough;BeginInventory=0;FreezerCount=48;Delivery=160;Backup=32;ParFactor=10.57644;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=24;Delivery=24;Backup=16;ParFactor=41.4887;Id=-1
