02/04/18 - 09:15:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:05 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:05 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:05 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:05 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:05 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:05 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:23 - INFO - Executing VendorTabVM#AddVendorItem
02/04/18 - 09:15:35 - INFO - Executing ModalVM`1#ModalOk
02/04/18 - 09:15:35 - INFO - Upating Vendor: 0
02/04/18 - 09:15:35 - INFO - Upating Vendor: 0
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:36 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:37 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:41 - INFO - Executing VendorTabVM#AddVendorItem
02/04/18 - 09:15:44 - INFO - Executing ModalVM`1#ModalOk
02/04/18 - 09:15:44 - INFO - Upating Vendor: 0
02/04/18 - 09:15:44 - INFO - Upating Vendor: 0
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:45 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:46 - INFO - Executing VendorTabVM#AddVendorItem
02/04/18 - 09:15:51 - INFO - Executing ModalVM`1#ModalOk
02/04/18 - 09:15:51 - INFO - Upating Vendor: 0
02/04/18 - 09:15:51 - INFO - Upating Vendor: 0
